CustomerID,Amount,purchased_units,avg_spend,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17,Category_18,Sex,Age,Profession,CityType,YearsInCity,HaveChildren
1000001,333481,34,9808.26,4,3,11,13,5,2,0,13,2,0,0,8,0,3,1,2,2,0,F,0-17,10,A,2,0.0
1000002,810353,76,10662.54,31,9,0,0,15,9,0,46,1,1,2,0,3,10,7,14,7,1,M,55+,16,C,4+,0.0
1000003,341635,29,11780.52,15,15,1,1,15,0,0,6,0,0,2,0,0,3,1,2,0,4,M,26-35,15,A,3,0.0
1000004,205987,13,15845.15,13,4,0,0,0,1,0,2,1,0,2,0,0,2,5,3,1,0,M,46-50,7,B,2,1.0
1000005,821001,106,7745.29,18,5,2,4,26,9,5,57,0,1,5,2,4,13,6,21,2,0,M,26-35,20,A,1,1.0
1000006,379450,46,8248.91,8,5,6,12,21,1,0,14,1,0,0,10,0,20,0,2,2,4,F,51-55,9,A,1,0.0
1000007,234427,16,14651.69,14,3,0,0,1,1,0,3,0,0,1,0,0,2,7,7,1,0,M,36-45,1,B,1,1.0
1000008,796545,76,10480.86,22,6,2,0,9,6,0,55,0,0,1,1,2,19,9,14,4,0,M,26-35,12,C,4+,1.0
1000009,593960,57,10420.35,11,2,5,4,13,13,1,29,1,1,0,0,1,7,3,18,4,0,M,26-35,17,C,0,0.0
1000010,2169486,222,9772.46,46,42,18,37,101,6,1,64,16,1,11,19,5,27,33,9,8,3,F,36-45,1,B,4+,1.0
1000011,556902,69,8071.04,7,7,1,3,39,4,2,25,1,0,3,2,2,10,2,10,3,0,F,26-35,1,C,1,0.0
1000012,120801,11,10981.91,3,1,0,0,4,4,0,5,0,1,0,0,1,0,0,2,1,0,M,26-35,12,C,2,0.0
1000013,713927,60,11898.78,33,41,1,8,11,4,0,12,8,1,2,1,2,5,13,8,4,2,M,46-50,1,C,3,1.0
1000014,127629,13,9817.62,4,0,0,0,3,2,0,8,0,0,2,0,1,2,1,2,0,0,M,36-45,0,C,0,0.0
1000015,1047124,116,9026.93,31,18,1,3,36,18,0,45,6,0,6,3,12,14,7,33,4,1,M,26-35,7,A,1,
1000016,150428,21,7163.24,6,5,1,1,13,1,0,2,0,1,1,0,0,7,4,1,1,0,F,36-45,0,C,0,1.0
1000017,1425501,114,12504.39,37,18,5,5,17,12,0,30,5,7,11,2,5,8,53,23,8,0,M,51-55,1,C,0,0.0
1000018,1978675,179,11054.05,81,46,23,39,51,25,0,54,17,3,2,8,4,20,18,24,7,7,F,18-25,3,B,3,
1000019,1457938,144,10124.57,55,27,19,17,42,6,1,18,6,1,28,7,4,10,28,25,4,1,M,0-17,10,A,3,0.0
1000020,185747,12,15478.92,10,2,0,0,2,2,0,2,0,0,0,0,1,1,5,5,1,0,M,26-35,14,A,0,0.0
1000021,126744,13,9749.54,4,4,8,4,3,1,0,0,0,1,1,1,1,1,2,0,0,1,M,18-25,16,B,0,0.0
1000022,1279678,155,8255.99,56,29,5,10,76,9,0,27,6,2,11,0,2,12,22,34,5,3,M,18-25,15,A,4+,0.0
1000023,1670998,171,9771.92,53,34,7,13,49,26,2,42,18,5,16,2,8,16,54,46,3,0,M,36-45,0,B,3,1.0
1000024,720850,76,9484.87,19,15,1,3,44,7,0,35,3,0,3,5,1,18,5,1,3,1,F,26-35,7,A,3,1.0
1000025,534215,43,12423.6,28,18,5,5,12,1,0,8,5,1,1,0,1,0,16,5,3,0,M,18-25,4,C,4+,0.0
1000026,1606174,226,7106.96,42,20,8,17,118,9,0,76,7,0,7,8,5,54,18,21,7,3,M,26-35,7,B,2,1.0
1000027,448562,41,10940.54,4,5,3,3,15,5,0,13,3,8,1,1,2,5,1,1,3,1,M,26-35,11,C,1,1.0
1000028,516560,57,9062.46,9,6,2,3,18,4,0,25,2,2,3,1,4,11,4,9,2,2,F,26-35,1,C,2,1.0
1000029,696201,52,13388.48,46,17,1,0,7,2,0,8,3,1,2,0,0,3,13,10,3,1,M,36-45,7,C,1,0.0
1000030,260985,30,8699.5,3,1,1,1,8,3,2,16,1,1,1,1,1,2,2,4,2,0,F,36-45,7,C,3,0.0
1000031,496154,64,7752.41,9,6,2,4,56,3,1,10,0,0,2,3,3,9,1,2,2,2,M,55+,7,C,2,0.0
1000032,229000,23,9956.52,2,0,2,2,6,3,0,10,1,1,0,1,1,5,1,9,1,0,F,26-35,0,C,3,1.0
1000033,1940043,215,9023.46,46,19,2,10,46,19,2,80,2,4,28,9,7,20,25,53,8,6,M,46-50,3,A,1,1.0
1000034,807747,99,8159.06,10,8,5,9,72,3,0,21,2,0,9,1,3,32,1,7,1,1,F,18-25,0,A,0,0.0
1000035,821303,111,7399.13,11,4,6,7,47,5,0,55,1,1,0,11,8,35,2,7,6,9,M,46-50,1,C,4+,1.0
1000036,2316532,199,11640.86,68,23,6,7,82,15,8,57,5,2,12,4,6,28,28,36,19,5,M,26-35,3,B,0,0.0
1000037,248370,30,8279.0,5,3,2,3,16,1,0,6,1,0,2,3,0,21,1,2,3,0,F,26-35,9,C,1,0.0
1000039,381977,40,9549.42,9,5,2,1,16,6,0,13,0,1,2,0,3,2,6,8,1,0,M,18-25,4,B,2,0.0
1000041,146237,15,9749.13,4,4,0,1,3,0,0,5,2,0,4,0,1,4,1,3,0,0,F,18-25,4,C,3,0.0
1000042,1483009,124,11959.75,74,40,3,8,32,4,0,18,12,1,8,2,1,9,59,22,4,1,M,26-35,8,C,0,1.0
